TIME_PERIOD#es;TIME_PERIOD_CODE;SEXO#es;SEXO_CODE;ACCIDENTE_GRAVEDAD#es;ACCIDENTE_GRAVEDAD_CODE;TIPO_TRABAJO#es;TIPO_TRABAJO_CODE;TRABAJO_HABITUAL#es;TRABAJO_HABITUAL_CODE;OBS_VALUE;CONFIDENCIALIDAD_OBSERVACION#es;NOTAS_OBSERVACION#es;ESTADO_OBSERVACION#es
2017;2017;Hombres;M;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;1487;;;
2017;2017;Total;_T;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;1505;;;
2018;2018;Mujeres;F;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;18;;;
2018;2018;Hombres;M;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;1845;;;
2018;2018;Total;_T;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;1863;;;
2019;2019;Mujeres;F;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;43;;;
2019;2019;Hombres;M;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;1841;;;
2019;2019;Total;_T;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;1884;;;
2020;2020;Mujeres;F;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;12;;;
2020;2020;Hombres;M;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;1327;;;
2020;2020;Total;_T;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;1339;;;
2021;2021;Mujeres;F;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;22;;;
2021;2021;Hombres;M;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;1621;;;
2021;2021;Total;_T;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;1643;;;
2022;2022;Mujeres;F;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;41;;;
2022;2022;Hombres;M;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;1715;;;
2022;2022;Total;_T;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;1756;;;
2003;2003;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;3753;;;
2003;2003;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;3129;;;
2003;2003;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;6882;;;
2004;2004;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;4027;;;
2004;2004;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;3494;;;
2004;2004;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;7521;;;
2005;2005;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;4504;;;
2005;2005;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;3767;;;
2005;2005;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;8271;;;
2006;2006;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;4540;;;
2006;2006;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;3742;;;
2006;2006;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;8282;;;
2007;2007;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;4072;;;
2007;2007;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;3178;;;
2007;2007;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;7250;;;
2008;2008;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;4155;;;
2008;2008;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;2975;;;
2008;2008;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;7130;;;
2009;2009;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;3557;;;
2009;2009;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;2334;;;
2009;2009;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;5891;;;
2010;2010;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;3254;;;
2010;2010;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;2191;;;
2010;2010;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;5445;;;
2011;2011;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;3014;;;
2011;2011;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;2038;;;
2011;2011;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;5052;;;
2012;2012;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;2584;;;
2012;2012;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;1612;;;
2012;2012;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;4196;;;
2013;2013;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;2871;;;
2013;2013;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;1802;;;
2013;2013;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;4673;;;
2014;2014;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;3173;;;
2014;2014;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;1930;;;
2014;2014;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;5103;;;
2015;2015;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;3241;;;
2015;2015;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;2087;;;
2015;2015;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;5328;;;
2016;2016;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;3395;;;
2016;2016;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;2191;;;
2016;2016;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;5586;;;
2017;2017;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;3430;;;
2017;2017;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;2354;;;
2017;2017;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;5784;;;
2018;2018;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;3160;;;
2018;2018;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;2148;;;
2018;2018;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;5308;;;
2019;2019;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;2907;;;
2019;2019;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;1990;;;
2019;2019;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;4897;;;
2020;2020;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;1968;;;
2020;2020;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;1305;;;
2020;2020;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;3273;;;
2021;2021;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;2388;;;
2021;2021;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;1433;;;
2021;2021;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;3821;;;
2022;2022;Mujeres;F;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;2825;;;
2022;2022;Hombres;M;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;1972;;;
