TIME_PERIOD#es;TIME_PERIOD_CODE;SEXO#es;SEXO_CODE;ACCIDENTE_GRAVEDAD#es;ACCIDENTE_GRAVEDAD_CODE;TIPO_TRABAJO#es;TIPO_TRABAJO_CODE;TRABAJO_HABITUAL#es;TRABAJO_HABITUAL_CODE;OBS_VALUE;CONFIDENCIALIDAD_OBSERVACION#es;NOTAS_OBSERVACION#es;ESTADO_OBSERVACION#es
2011;2011;Mujeres;F;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2011;2011;Hombres;M;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2011;2011;Total;_T;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2012;2012;Mujeres;F;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2012;2012;Hombres;M;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2012;2012;Total;_T;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2013;2013;Mujeres;F;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2013;2013;Hombres;M;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2013;2013;Total;_T;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2014;2014;Mujeres;F;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2014;2014;Hombres;M;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2014;2014;Total;_T;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2015;2015;Mujeres;F;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2015;2015;Hombres;M;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2015;2015;Total;_T;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2016;2016;Mujeres;F;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2016;2016;Hombres;M;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2016;2016;Total;_T;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2017;2017;Mujeres;F;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2017;2017;Hombres;M;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2017;2017;Total;_T;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2018;2018;Mujeres;F;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2018;2018;Hombres;M;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2018;2018;Total;_T;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2019;2019;Mujeres;F;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2019;2019;Hombres;M;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2019;2019;Total;_T;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2020;2020;Mujeres;F;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2020;2020;Hombres;M;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2020;2020;Total;_T;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2021;2021;Mujeres;F;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2021;2021;Hombres;M;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2021;2021;Total;_T;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2022;2022;Mujeres;F;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2022;2022;Hombres;M;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2022;2022;Total;_T;Mortal;MORTAL;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;0;;;
2003;2003;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;1;;;
2003;2003;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;35;;;
2003;2003;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;36;;;
2004;2004;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;0;;;
2004;2004;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;31;;;
2004;2004;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;31;;;
2005;2005;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;3;;;
2005;2005;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;37;;;
2005;2005;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;40;;;
2006;2006;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;2;;;
2006;2006;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;28;;;
2006;2006;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;30;;;
2007;2007;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;1;;;
2007;2007;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;15;;;
2007;2007;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;16;;;
2008;2008;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;1;;;
2008;2008;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;36;;;
2008;2008;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;37;;;
2009;2009;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;2;;;
2009;2009;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;16;;;
2009;2009;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;18;;;
2010;2010;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;0;;;
2010;2010;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;15;;;
2010;2010;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;15;;;
2011;2011;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;1;;;
2011;2011;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;16;;;
2011;2011;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;17;;;
2012;2012;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;3;;;
2012;2012;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;5;;;
2012;2012;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;8;;;
2013;2013;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;5;;;
2013;2013;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;18;;;
2013;2013;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;23;;;
2014;2014;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;0;;;
2014;2014;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;22;;;
2014;2014;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;22;;;
2015;2015;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;1;;;
2015;2015;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;15;;;
2015;2015;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;16;;;
2016;2016;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;0;;;
2016;2016;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;11;;;
2016;2016;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;11;;;
2017;2017;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;1;;;
2017;2017;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;13;;;
2017;2017;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;14;;;
2018;2018;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;2;;;
2018;2018;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;16;;;
2018;2018;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;18;;;
2019;2019;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;1;;;
2019;2019;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;17;;;
2019;2019;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;18;;;
2020;2020;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;1;;;
2020;2020;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;15;;;
2020;2020;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;16;;;
2021;2021;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;1;;;
2021;2021;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;7;;;
2021;2021;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;8;;;
2022;2022;Mujeres;F;Mortal;MORTAL;Total;_T;Sí;SI;4;;;
2022;2022;Hombres;M;Mortal;MORTAL;Total;_T;Sí;SI;16;;;
2022;2022;Total;_T;Mortal;MORTAL;Total;_T;Sí;SI;20;;;
2003;2003;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2003;2003;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;2;;;
2003;2003;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;2;;;
2004;2004;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2004;2004;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2004;2004;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2005;2005;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2005;2005;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;2;;;
2005;2005;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;2;;;
2006;2006;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2006;2006;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;2;;;
2006;2006;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;2;;;
2007;2007;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2007;2007;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2007;2007;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2008;2008;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2008;2008;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1;;;
2008;2008;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1;;;
2009;2009;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2009;2009;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1;;;
2009;2009;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1;;;
2010;2010;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2010;2010;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2010;2010;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2011;2011;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2011;2011;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2011;2011;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2012;2012;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2012;2012;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2012;2012;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2013;2013;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2013;2013;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1;;;
2013;2013;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1;;;
2014;2014;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2014;2014;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;4;;;
2014;2014;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;4;;;
2015;2015;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2015;2015;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1;;;
2015;2015;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1;;;
2016;2016;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2016;2016;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1;;;
2016;2016;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1;;;
2017;2017;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2017;2017;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1;;;
2017;2017;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1;;;
2018;2018;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2018;2018;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;2;;;
2018;2018;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;2;;;
2019;2019;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2019;2019;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;2;;;
2019;2019;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;2;;;
2020;2020;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2020;2020;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2020;2020;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2021;2021;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2021;2021;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1;;;
2021;2021;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1;;;
2022;2022;Mujeres;F;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2022;2022;Hombres;M;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2022;2022;Total;_T;Mortal;MORTAL;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;0;;;
2003;2003;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;0;;;
2003;2003;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;4;;;
2003;2003;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;4;;;
2004;2004;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;0;;;
2004;2004;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;13;;;
2004;2004;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;13;;;
2005;2005;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;2;;;
2005;2005;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;9;;;
2005;2005;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;11;;;
2006;2006;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;0;;;
2006;2006;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;6;;;
2006;2006;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;6;;;
2007;2007;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;0;;;
2007;2007;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;2;;;
2007;2007;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;2;;;
2008;2008;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;0;;;
2008;2008;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;9;;;
2008;2008;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;9;;;
2009;2009;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;1;;;
2009;2009;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;6;;;
2009;2009;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;7;;;
2010;2010;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;0;;;
2010;2010;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;2;;;
2010;2010;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;2;;;
2011;2011;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;0;;;
2011;2011;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;3;;;
2011;2011;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;3;;;
2012;2012;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;2;;;
2012;2012;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;3;;;
2012;2012;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;5;;;
2013;2013;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;0;;;
2013;2013;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;6;;;
2013;2013;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;6;;;
2014;2014;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;0;;;
2014;2014;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;4;;;
2014;2014;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;4;;;
2015;2015;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;0;;;
2015;2015;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;5;;;
2015;2015;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;5;;;
2016;2016;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;0;;;
2016;2016;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;3;;;
2016;2016;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;3;;;
2017;2017;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;0;;;
2017;2017;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;2;;;
2017;2017;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;2;;;
2018;2018;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;2;;;
2018;2018;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;3;;;
2018;2018;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;5;;;
2019;2019;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;0;;;
2019;2019;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;2;;;
2019;2019;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;2;;;
2020;2020;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;0;;;
2020;2020;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;1;;;
2020;2020;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;1;;;
2021;2021;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;0;;;
2021;2021;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;3;;;
2021;2021;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;3;;;
2022;2022;Mujeres;F;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;0;;;
2022;2022;Hombres;M;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;3;;;
2022;2022;Total;_T;Mortal;MORTAL;Circulación, actividades deportivas y artísticas;6;Sí;SI;3;;;
2003;2003;Mujeres;F;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2003;2003;Hombres;M;Mortal;MORTAL;Ninguna información;0;Sí;SI;1;;;
2003;2003;Total;_T;Mortal;MORTAL;Ninguna información;0;Sí;SI;1;;;
2004;2004;Mujeres;F;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2004;2004;Hombres;M;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2004;2004;Total;_T;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2005;2005;Mujeres;F;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2005;2005;Hombres;M;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2005;2005;Total;_T;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2006;2006;Mujeres;F;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2006;2006;Hombres;M;Mortal;MORTAL;Ninguna información;0;Sí;SI;1;;;
2006;2006;Total;_T;Mortal;MORTAL;Ninguna información;0;Sí;SI;1;;;
2007;2007;Mujeres;F;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2007;2007;Hombres;M;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2007;2007;Total;_T;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2008;2008;Mujeres;F;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2008;2008;Hombres;M;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2008;2008;Total;_T;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2009;2009;Mujeres;F;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2009;2009;Hombres;M;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2009;2009;Total;_T;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2010;2010;Mujeres;F;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2010;2010;Hombres;M;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2010;2010;Total;_T;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2011;2011;Mujeres;F;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2011;2011;Hombres;M;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2011;2011;Total;_T;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2012;2012;Mujeres;F;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2012;2012;Hombres;M;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2012;2012;Total;_T;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2013;2013;Mujeres;F;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2013;2013;Hombres;M;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2013;2013;Total;_T;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
2014;2014;Mujeres;F;Mortal;MORTAL;Ninguna información;0;Sí;SI;0;;;
